CURRENT_ICD10_LIST,SNOMED_CONCEPT_NAME,SNOMED_CONCEPT_ID,CURATE_METHOD
E11.641,Diabetes mellitus type 2 (disorder),44054006,Database
E11.618,M75.01,Diabetes mellitus type 2 (disorder),44054006,Database
E11.618,M75.02,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,H54.8,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H54.3,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H54.50,H54.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,H54.8,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H21.1X9,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H54.60,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H54.3,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3213,H54.0X44,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.64,Diabetes mellitus type 2 (disorder),44054006,Database
E11.62,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,H54.2X11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3593,H54.0X44,Diabetes mellitus type 2 (disorder),44054006,Database
E11.43,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.610,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.52,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,E78.00,Diabetes mellitus type 2 (disorder),44054006,Database
E11.610,Diabetes mellitus type 2 (disorder),44054006,Database
E11.628,L08.9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.9,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.638,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3593,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3592,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3591,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3549,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3213,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3293,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3313,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3393,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3543,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3513,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3523,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3533,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3593,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3493,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.620,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X3,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X2,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X1,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.41,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3212,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3292,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3312,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3392,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3542,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3512,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3522,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3532,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3592,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3412,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3492,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3211,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3291,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3311,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3391,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3541,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3511,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3521,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3531,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3591,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3411,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3491,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3553,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3552,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3551,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.1,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.2,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.3,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.5,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3511,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3512,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3513,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3291,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3212,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3213,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3211,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3311,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3312,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3313,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3412,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,N18.5,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,N18.6,Z99.2,Diabetes mellitus type 2 (disorder),44054006,Database
E11.8,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.640,Diabetes mellitus type 2 (disorder),44054006,Database
E11.638,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3291,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3549,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,K74.1,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3521,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3529,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3212,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3412,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3543,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3533,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3291,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3592,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3541,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X9,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3529,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3532,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3212,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3312,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3293,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3493,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3523,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3552,E11.3512,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.622,L97.309,Diabetes mellitus type 2 (disorder),44054006,Database
E11.11,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.01,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,N18.2,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.6,Z99.2,Diabetes mellitus type 2 (disorder),44054006,Database
E11.649,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.638,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.630,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.43,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H42,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H35.059,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H35.059,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.341,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,H54.0X33,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H54.60,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,H54.0X44,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,H54.0X33,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,H54.0X55,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3293,H54.2X22,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3593,H54.2X11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3513,H54.0X33,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3313,H54.0X33,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,N18.6,Diabetes mellitus type 2 (disorder),44054006,Database
E13.628,L83,Diabetes mellitus type 2 (disorder),44054006,Database
E11.10,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3499,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H35.049,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3551,E11.3511,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3299,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3213,H54.2X11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,H54.0X44,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3593,H54.0X55,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,H54.3,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3313,H54.2X11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,H54.0X33,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,H21.1X9,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3493,H54.0X44,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3319,H54.8,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3513,H54.2X11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H54.0X33,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3559,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3493,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3393,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3542,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3492,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3539,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H47.099,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,E11.3219,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3519,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.49,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3542,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3419,H43.10,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3399,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H21.1X9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H54.2X22,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,M86.9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H43.11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H43.12,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H43.13,Diabetes mellitus type 2 (disorder),44054006,Database
E11.618,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.628,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.29,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.59,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.49,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,E78.1,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,I12.0,N18.6,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,E11.65,H54.7,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,E11.39,H47.099,Diabetes mellitus type 2 (disorder),44054006,Database
E11.319,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3599,H42,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.621,L97.509,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3512,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3313,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3593,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3533,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3522,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3543,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3393,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3513,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3213,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3313,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3311,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3211,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3531,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3513,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3521,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3412,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3532,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3523,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3411,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3392,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3311,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3539,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3541,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3492,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3541,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3511,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3511,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3413,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3539,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3392,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3491,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3293,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X9,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.628,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.59,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3591,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3411,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3211,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3491,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3292,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3391,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3522,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3213,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3549,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3312,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3542,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3531,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3512,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H21.1X9,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3219,E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.311,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,H42,E11.39,Diabetes mellitus type 2 (disorder),44054006,Database
E11.0,Diabetes mellitus type 2 (disorder),44054006,Database
E11.8,Z96.41,Diabetes mellitus type 2 (disorder),44054006,Database
E11.59,I20.9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,M86.9,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,I70.209,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,I70.209,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.41,G56.00,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.41,G56.00,Diabetes mellitus type 2 (disorder),44054006,Database
E11.59,N52.1,Diabetes mellitus type 2 (disorder),44054006,Database
E11.59,N52.1,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.40,N52.1,Diabetes mellitus type 2 (disorder),44054006,Database
E11.40,N52.1,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.628,L84,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,I43,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,N18.6,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3553,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3551,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3559,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X3,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.49,G53,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H42,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,I70.219,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,I70.229,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H33.40,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,H34.9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,E43,Diabetes mellitus type 2 (disorder),44054006,Database
E11.59,I87.2,L97.909,Diabetes mellitus type 2 (disorder),44054006,Database
E11.622,L97.909,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,M21.969,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,K63.9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,I70.0,Diabetes mellitus type 2 (disorder),44054006,Database
E11,Diabetes mellitus type 2 (disorder),44054006,Database
E11.354,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X1,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X2,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X9,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3552,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3553,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.37X3,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3551,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.69,K52.9,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3292,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.3391,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.39,E11.65,H43.10,Diabetes mellitus type 2 (disorder),44054006,Database
E11.321,Diabetes mellitus type 2 (disorder),44054006,Database
E11.331,Diabetes mellitus type 2 (disorder),44054006,Database
E11.51,E11.69,B35.1,Diabetes mellitus type 2 (disorder),44054006,Database
E11.42,B35.1,E11.69,Diabetes mellitus type 2 (disorder),44054006,Database
E11.52,E11.65,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,E11.65,N18.2,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
E11.36,Z79.4,E11.65,Diabetes mellitus type 2 (disorder),44054006,Database
E11.22,N18.4,Z79.4,Diabetes mellitus type 2 (disorder),44054006,Database
