set_id,icd_code,icd_description,snomed,snomed_concept_name
281,R65.21,Severe sepsis with septic shock,76571007,Septic shock (disorder)
282,I95.9,"Hypotension, unspecified",76571007,Septic shock (disorder)
282,A41.9,"Sepsis, unspecified organism",76571007,Septic shock (disorder)
283,K62.1,Rectal polyp,713197008,Recurrent rectal polyp (disorder)
284,O02.0,Blighted ovum and nonhydatidiform mole,35999006,Blighted ovum (disorder)
285,S06.0,Concussion,62564004,Concussion with loss of consciousness (disorder)
286,S06.31,Contusion and laceration of right cerebrum,62564004,Concussion with loss of consciousness (disorder)
287,S06.33,"Contusion and laceration of cerebrum, unspecified",62564004,Concussion with loss of consciousness (disorder)
288,S06.32,Contusion and laceration of left cerebrum,62564004,Concussion with loss of consciousness (disorder)
289,R13.0,Aphagia,288959006,Unable to swallow saliva (finding)
290,I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,22298006,Myocardial infarction (disorder)
291,I21.4,Non-ST elevation (NSTEMI) myocardial infarction,22298006,Myocardial infarction (disorder)
292,I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,22298006,Myocardial infarction (disorder)
293,I21.9,"Acute myocardial infarction, unspecified",22298006,Myocardial infarction (disorder)
294,I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,22298006,Myocardial infarction (disorder)
295,I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,22298006,Myocardial infarction (disorder)
296,I21.A,Other type of myocardial infarction,22298006,Myocardial infarction (disorder)
297,I21.A1,Myocardial infarction type 2,22298006,Myocardial infarction (disorder)
298,I21.A9,Other myocardial infarction type,22298006,Myocardial infarction (disorder)
299,I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery,22298006,Myocardial infarction (disorder)
300,I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,22298006,Myocardial infarction (disorder)
301,I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",22298006,Myocardial infarction (disorder)
302,I21.29,ST elevation (STEMI) myocardial infarction involving other sites,22298006,Myocardial infarction (disorder)
303,I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery,22298006,Myocardial infarction (disorder)
304,I21.1,ST elevation (STEMI) myocardial infarction of inferior wall,22298006,Myocardial infarction (disorder)
305,I25.2,Old myocardial infarction,22298006,Myocardial infarction (disorder)
306,I22.8,Subsequent ST elevation (STEMI) myocardial infarction of other sites,399211009,History of myocardial infarction (situation)
307,I51.0,"Cardiac septal defect, acquired",399211009,History of myocardial infarction (situation)
308,I25.2,Old myocardial infarction,399211009,History of myocardial infarction (situation)
309,I23.8,Other current complications following acute myocardial infarction,399211009,History of myocardial infarction (situation)
310,F90.9,"Attention-deficit hyperactivity disorder, unspecified type",192127007,Child attention deficit disorder (disorder)
311,F98.8,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,192127007,Child attention deficit disorder (disorder)
312,M19.04,"Primary osteoarthritis, hand",201834006,"Localized, primary osteoarthritis of the hand (disorder)"
313,O00.10,Tubal pregnancy without intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
314,O00.11,Tubal pregnancy with intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
315,O00.1,Tubal pregnancy,79586000,Tubal pregnancy (disorder)
316,S06.9,Unspecified intracranial injury,275272006,Brain damage - traumatic (disorder)
317,E11.34,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
318,E11.33,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
319,E11.32,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
320,E11.35,Type 2 diabetes mellitus with proliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
321,E11.31,Type 2 diabetes mellitus with unspecified diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
322,C18,Malignant neoplasm of colon,363406005,Malignant neoplasm of colon (disorder)
323,C19,Malignant neoplasm of rectosigmoid junction,363406005,Malignant neoplasm of colon (disorder)
324,K70.30,Alcoholic cirrhosis of liver without ascites,7200002,Alcoholism (disorder)
325,Z71.41,Alcohol abuse counseling and surveillance of alcoholic,7200002,Alcoholism (disorder)
326,F10.22,Alcohol dependence with intoxication,7200002,Alcoholism (disorder)
327,F10.95,"Alcohol use, unspecified with alcohol-induced psychotic disorder",7200002,Alcoholism (disorder)
328,F10.20,"Alcohol dependence, uncomplicated",7200002,Alcoholism (disorder)
329,F10.25,Alcohol dependence with alcohol-induced psychotic disorder,7200002,Alcoholism (disorder)
330,M16,Osteoarthritis of hip,239872002,Osteoarthritis of hip (disorder)
331,J30.2,Other seasonal allergic rhinitis,367498001,Seasonal allergic rhinitis (disorder)
332,J30.89,Other allergic rhinitis,367498001,Seasonal allergic rhinitis (disorder)
333,T26.40,"Burn of unspecified eye and adnexa, part unspecified",403191005,Partial thickness burn (disorder)
334,T30.0,"Burn of unspecified body region, unspecified degree",403191005,Partial thickness burn (disorder)
335,T30.4,"Corrosion of unspecified body region, unspecified degree",403191005,Partial thickness burn (disorder)
336,T26.42,"Burn of left eye and adnexa, part unspecified",403191005,Partial thickness burn (disorder)
337,T21.26,Burn of second degree of male genital region,403191005,Partial thickness burn (disorder)
338,T26.41,"Burn of right eye and adnexa, part unspecified",403191005,Partial thickness burn (disorder)
339,T20.20,"Burn of second degree of head, face, and neck, unspecified site",403191005,Partial thickness burn (disorder)
339,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403191005,Partial thickness burn (disorder)
340,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403191005,Partial thickness burn (disorder)
340,T25.21,Burn of second degree of ankle,403191005,Partial thickness burn (disorder)
341,C18.8,Malignant neoplasm of overlapping sites of colon,109838007,Overlapping malignant neoplasm of colon (disorder)
342,S83.51,Sprain of anterior cruciate ligament of knee,444470001,Injury of anterior cruciate ligament (disorder)
343,S89.92,Unspecified injury of left lower leg,444470001,Injury of anterior cruciate ligament (disorder)
344,S89.90,Unspecified injury of unspecified lower leg,444470001,Injury of anterior cruciate ligament (disorder)
345,S89.91,Unspecified injury of right lower leg,444470001,Injury of anterior cruciate ligament (disorder)
346,K59.0,Constipation,14760008,Constipation (finding)
347,P78.89,Other specified perinatal digestive system disorders,14760008,Constipation (finding)
348,K59.00,"Constipation, unspecified",14760008,Constipation (finding)
349,K59.09,Other constipation,14760008,Constipation (finding)
350,K59.02,Outlet dysfunction constipation,14760008,Constipation (finding)
351,E13.10,Other specified diabetes mellitus with ketoacidosis without coma,44054006,Diabetes mellitus type 2 (disorder)
352,E13.11,Other specified diabetes mellitus with ketoacidosis with coma,44054006,Diabetes mellitus type 2 (disorder)
353,E11,Type 2 diabetes mellitus,44054006,Diabetes mellitus type 2 (disorder)
354,L83,Acanthosis nigricans,44054006,Diabetes mellitus type 2 (disorder)
354,E13.62,Other specified diabetes mellitus with skin complications,44054006,Diabetes mellitus type 2 (disorder)
355,O30.09,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs",47200007,High risk pregnancy (finding)
356,O09,Supervision of high risk pregnancy,47200007,High risk pregnancy (finding)
357,Z87.59,"Personal history of other complications of pregnancy, childbirth and the puerperium",47200007,High risk pregnancy (finding)
358,O26.2,Pregnancy care for patient with recurrent pregnancy loss,47200007,High risk pregnancy (finding)
359,O99.33,"Tobacco use disorder complicating pregnancy, childbirth, and the puerperium",47200007,High risk pregnancy (finding)
360,O26.20,"Pregnancy care for patient with recurrent pregnancy loss, unspecified trimester",47200007,High risk pregnancy (finding)
361,Z91.89,"Other specified personal risk factors, not elsewhere classified",47200007,High risk pregnancy (finding)
362,O30.00,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs",47200007,High risk pregnancy (finding)
363,O26.21,"Pregnancy care for patient with recurrent pregnancy loss, first trimester",47200007,High risk pregnancy (finding)
364,O26.23,"Pregnancy care for patient with recurrent pregnancy loss, third trimester",47200007,High risk pregnancy (finding)
365,O26.22,"Pregnancy care for patient with recurrent pregnancy loss, second trimester",47200007,High risk pregnancy (finding)
366,Z86.79,Personal history of other diseases of the circulatory system,47200007,High risk pregnancy (finding)
367,F19.10,"Other psychoactive substance abuse, uncomplicated",47200007,High risk pregnancy (finding)
367,O99.32,"Drug use complicating pregnancy, childbirth, and the puerperium",47200007,High risk pregnancy (finding)
368,O99.32,"Drug use complicating pregnancy, childbirth, and the puerperium",47200007,High risk pregnancy (finding)
368,F11.20,"Opioid dependence, uncomplicated",47200007,High risk pregnancy (finding)
369,O99.89,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",47200007,High risk pregnancy (finding)
369,Z86.59,Personal history of other mental and behavioral disorders,47200007,High risk pregnancy (finding)
370,J03.00,"Acute streptococcal tonsillitis, unspecified",43878008,Streptococcal sore throat (disorder)
371,J02.0,Streptococcal pharyngitis,43878008,Streptococcal sore throat (disorder)
372,J98.8,Other specified respiratory disorders,56018004,Wheezing (finding)
373,J45.31,Mild persistent asthma with (acute) exacerbation,56018004,Wheezing (finding)
374,J45.41,Moderate persistent asthma with (acute) exacerbation,56018004,Wheezing (finding)
375,J45.30,"Mild persistent asthma, uncomplicated",56018004,Wheezing (finding)
376,J45.40,"Moderate persistent asthma, uncomplicated",56018004,Wheezing (finding)
377,J45.42,Moderate persistent asthma with status asthmaticus,56018004,Wheezing (finding)
378,J45.20,"Mild intermittent asthma, uncomplicated",56018004,Wheezing (finding)
379,J45.90,Unspecified asthma,56018004,Wheezing (finding)
380,J45.50,"Severe persistent asthma, uncomplicated",56018004,Wheezing (finding)
381,J45.51,Severe persistent asthma with (acute) exacerbation,56018004,Wheezing (finding)
382,J45.22,Mild intermittent asthma with status asthmaticus,56018004,Wheezing (finding)
383,J45.52,Severe persistent asthma with status asthmaticus,56018004,Wheezing (finding)
384,R06.2,Wheezing,56018004,Wheezing (finding)
385,J45.21,Mild intermittent asthma with (acute) exacerbation,56018004,Wheezing (finding)
386,J45.32,Mild persistent asthma with status asthmaticus,56018004,Wheezing (finding)
387,A54.21,Gonococcal infection of kidney and ureter,45816000,Pyelonephritis (disorder)
388,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",45816000,Pyelonephritis (disorder)
389,Q05.9,"Spina bifida, unspecified",414667000,Meningomyelocele (disorder)
390,Q05.3,Sacral spina bifida with hydrocephalus,414667000,Meningomyelocele (disorder)
391,O35.0,Maternal care for (suspected) central nervous system malformation in fetus,414667000,Meningomyelocele (disorder)
392,Q05.6,Thoracic spina bifida without hydrocephalus,414667000,Meningomyelocele (disorder)
393,Q05.7,Lumbar spina bifida without hydrocephalus,414667000,Meningomyelocele (disorder)
394,Q05.5,Cervical spina bifida without hydrocephalus,414667000,Meningomyelocele (disorder)
395,Q79.8,Other congenital malformations of musculoskeletal system,302297009,Congenital deformity of foot (disorder)
396,Q66,Congenital deformities of feet,302297009,Congenital deformity of foot (disorder)
397,Q70.4,"Polysyndactyly, unspecified",302297009,Congenital deformity of foot (disorder)
398,Q74.2,"Other congenital malformations of lower limb(s), including pelvic girdle",302297009,Congenital deformity of foot (disorder)
399,M24.85,"Other specific joint derangements of hip, not elsewhere classified",157265008,Dislocation of hip joint (disorder)
400,S73.02,Obturator subluxation and dislocation of hip,157265008,Dislocation of hip joint (disorder)
401,S73.01,Posterior subluxation and dislocation of hip,157265008,Dislocation of hip joint (disorder)
402,S73.04,Central subluxation and dislocation of hip,157265008,Dislocation of hip joint (disorder)
403,S73.03,Other anterior subluxation and dislocation of hip,157265008,Dislocation of hip joint (disorder)
404,S73.00,Unspecified subluxation and dislocation of hip,157265008,Dislocation of hip joint (disorder)
405,F79,Unspecified intellectual disabilities,157265008,Dislocation of hip joint (disorder)
405,D75.A,Glucose-6-phosphate dehydrogenase (G6PD) deficiency without anemia,157265008,Dislocation of hip joint (disorder)
405,Q65.2,"Congenital dislocation of hip, unspecified",157265008,Dislocation of hip joint (disorder)
406,R09.02,Hypoxemia,389087006,Hypoxemia (disorder)
407,E66.9,"Obesity, unspecified",389087006,Hypoxemia (disorder)
407,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
408,J43.9,"Emphysema, unspecified",389087006,Hypoxemia (disorder)
408,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
409,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
409,J44.9,"Chronic obstructive pulmonary disease, unspecified",389087006,Hypoxemia (disorder)
410,I27.29,Other secondary pulmonary hypertension,389087006,Hypoxemia (disorder)
410,G47.36,Sleep related hypoventilation in conditions classified elsewhere,389087006,Hypoxemia (disorder)
411,O99.51,Diseases of the respiratory system complicating pregnancy,233604007,Pneumonia (disorder)
412,J18.0,"Bronchopneumonia, unspecified organism",233604007,Pneumonia (disorder)
413,J17,Pneumonia in diseases classified elsewhere,233604007,Pneumonia (disorder)
414,Z83.6,Family history of other diseases of the respiratory system,233604007,Pneumonia (disorder)
415,J18.9,"Pneumonia, unspecified organism",233604007,Pneumonia (disorder)
416,J82.89,"Other pulmonary eosinophilia, not elsewhere classified",233604007,Pneumonia (disorder)
417,S06.9,Unspecified intracranial injury,127295002,Traumatic brain injury (disorder)
418,S02.0,Fracture of vault of skull,127295002,Traumatic brain injury (disorder)
419,S06.89,Other specified intracranial injury,127295002,Traumatic brain injury (disorder)
420,S06.33,"Contusion and laceration of cerebrum, unspecified",127295002,Traumatic brain injury (disorder)
421,S06.37,"Contusion, laceration, and hemorrhage of cerebellum",127295002,Traumatic brain injury (disorder)
422,S06.38,"Contusion, laceration, and hemorrhage of brainstem",127295002,Traumatic brain injury (disorder)
423,S06.2,Diffuse traumatic brain injury,127295002,Traumatic brain injury (disorder)
424,Z87.82,Personal history of other (healed) physical injury and trauma,127295002,Traumatic brain injury (disorder)
425,Z13.85,Encounter for screening for nervous system disorders,127295002,Traumatic brain injury (disorder)
426,S06.30,Unspecified focal traumatic brain injury,127295002,Traumatic brain injury (disorder)
426,S02.10,Unspecified fracture of base of skull,127295002,Traumatic brain injury (disorder)
427,S06.0,Concussion,127295002,Traumatic brain injury (disorder)
427,S02.10,Unspecified fracture of base of skull,127295002,Traumatic brain injury (disorder)
428,M25.59,Pain in other specified joint,57676002,Joint pain (finding)
429,T84.84,"Pain due to internal orthopedic prosthetic devices, implants and grafts",57676002,Joint pain (finding)
430,M25.50,Pain in unspecified joint,57676002,Joint pain (finding)
431,R07.89,Other chest pain,57676002,Joint pain (finding)
432,M25.56,Pain in knee,57676002,Joint pain (finding)
433,M25.53,Pain in wrist,57676002,Joint pain (finding)
434,E84.8,Cystic fibrosis with other manifestations,57676002,Joint pain (finding)
435,M54.9,"Dorsalgia, unspecified",57676002,Joint pain (finding)
436,M25.5,Pain in joint,57676002,Joint pain (finding)
437,A69.20,"Lyme disease, unspecified",57676002,Joint pain (finding)
438,M19.90,"Unspecified osteoarthritis, unspecified site",57676002,Joint pain (finding)
439,O02.1,Missed abortion,19169002,Miscarriage in first trimester (disorder)
440,O03.9,Complete or unspecified spontaneous abortion without complication,19169002,Miscarriage in first trimester (disorder)
441,P22.0,Respiratory distress syndrome of newborn,271825005,Respiratory distress (finding)
442,R06.00,"Dyspnea, unspecified",271825005,Respiratory distress (finding)
443,R06.03,Acute respiratory distress,271825005,Respiratory distress (finding)
444,T40.60,"Poisoning by, adverse effect of and underdosing of unspecified narcotics",271825005,Respiratory distress (finding)
444,R06.09,Other forms of dyspnea,271825005,Respiratory distress (finding)
445,Q07.01,Arnold-Chiari syndrome with spina bifida,373587001,Chiari malformation type II (disorder)
446,L02.91,"Cutaneous abscess, unspecified",22253000,Pain (finding)
447,D57.41,"Sickle-cell thalassemia, unspecified, with crisis",22253000,Pain (finding)
448,G95.9,"Disease of spinal cord, unspecified",22253000,Pain (finding)
449,K13.0,Diseases of lips,22253000,Pain (finding)
450,I21.9,"Acute myocardial infarction, unspecified",22253000,Pain (finding)
451,H57.10,"Ocular pain, unspecified eye",22253000,Pain (finding)
452,K05.30,"Chronic periodontitis, unspecified",22253000,Pain (finding)
453,K11.8,Other diseases of salivary glands,22253000,Pain (finding)
454,D57.21,Sickle-cell/Hb-C disease with crisis,22253000,Pain (finding)
455,R07.0,Pain in throat,22253000,Pain (finding)
456,K02.9,"Dental caries, unspecified",22253000,Pain (finding)
457,G89,"Pain, not elsewhere classified",22253000,Pain (finding)
458,M79.60,"Pain in limb, unspecified",22253000,Pain (finding)
459,D57.00,"Hb-SS disease with crisis, unspecified",22253000,Pain (finding)
460,H57.13,"Ocular pain, bilateral",22253000,Pain (finding)
461,R07.1,Chest pain on breathing,22253000,Pain (finding)
462,R07.2,Precordial pain,22253000,Pain (finding)
463,I83.81,Varicose veins of lower extremities with pain,22253000,Pain (finding)
464,H57.12,"Ocular pain, left eye",22253000,Pain (finding)
465,N94.89,Other specified conditions associated with female genital organs and menstrual cycle,22253000,Pain (finding)
466,H92.03,"Otalgia, bilateral",22253000,Pain (finding)
467,M25.51,Pain in shoulder,22253000,Pain (finding)
468,K94.19,Other complications of enterostomy,22253000,Pain (finding)
469,N20.0,Calculus of kidney,22253000,Pain (finding)
470,L74.9,"Eccrine sweat disorder, unspecified",22253000,Pain (finding)
471,L98.9,"Disorder of the skin and subcutaneous tissue, unspecified",22253000,Pain (finding)
472,H57.11,"Ocular pain, right eye",22253000,Pain (finding)
473,R52,"Pain, unspecified",22253000,Pain (finding)
474,H02.89,Other specified disorders of eyelid,22253000,Pain (finding)
474,H02.84,Edema of eyelid,22253000,Pain (finding)
475,F41.1,Generalized anxiety disorder,22253000,Pain (finding)
475,F45.42,Pain disorder with related psychological factors,22253000,Pain (finding)
476,T82.84,"Pain due to cardiac and vascular prosthetic devices, implants and grafts",22253000,Pain (finding)
476,T82.82,"Fibrosis due to cardiac and vascular prosthetic devices, implants and grafts",22253000,Pain (finding)
477,M79.67,Pain in foot and toes,22253000,Pain (finding)
477,Q74.2,"Other congenital malformations of lower limb(s), including pelvic girdle",22253000,Pain (finding)
478,H65.19,Other acute nonsuppurative otitis media,65363002,Otitis media (disorder)
479,H65.93,"Unspecified nonsuppurative otitis media, bilateral",65363002,Otitis media (disorder)
480,H65.91,"Unspecified nonsuppurative otitis media, right ear",65363002,Otitis media (disorder)
481,H65.92,"Unspecified nonsuppurative otitis media, left ear",65363002,Otitis media (disorder)
482,A38.0,Scarlet fever with otitis media,65363002,Otitis media (disorder)
483,H66.9,"Otitis media, unspecified",65363002,Otitis media (disorder)
484,H67,Otitis media in diseases classified elsewhere,65363002,Otitis media (disorder)
485,H66.92,"Otitis media, unspecified, left ear",65363002,Otitis media (disorder)
486,H65.90,"Unspecified nonsuppurative otitis media, unspecified ear",65363002,Otitis media (disorder)
487,H66.93,"Otitis media, unspecified, bilateral",65363002,Otitis media (disorder)
488,H66.91,"Otitis media, unspecified, right ear",65363002,Otitis media (disorder)
489,H66.90,"Otitis media, unspecified, unspecified ear",65363002,Otitis media (disorder)
490,Z86.69,Personal history of other diseases of the nervous system and sense organs,65363002,Otitis media (disorder)
490,Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,65363002,Otitis media (disorder)
491,R06.00,"Dyspnea, unspecified",267036007,Dyspnea (finding)
492,R06.02,Shortness of breath,267036007,Dyspnea (finding)
493,I50.9,"Heart failure, unspecified",267036007,Dyspnea (finding)
494,R06.81,"Apnea, not elsewhere classified",267036007,Dyspnea (finding)
495,T70.29,Other effects of high altitude,267036007,Dyspnea (finding)
496,R06.0,Dyspnea,267036007,Dyspnea (finding)
497,R06.09,Other forms of dyspnea,267036007,Dyspnea (finding)
498,M54.5,Low back pain,278860009,Chronic low back pain (finding)
499,M54.40,"Lumbago with sciatica, unspecified side",278860009,Chronic low back pain (finding)
499,G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
500,M54.41,"Lumbago with sciatica, right side",278860009,Chronic low back pain (finding)
500,G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
501,M54.42,"Lumbago with sciatica, left side",278860009,Chronic low back pain (finding)
501,G89.29,Other chronic pain,278860009,Chronic low back pain (finding)
502,N18.30,"Chronic kidney disease, stage 3 unspecified",433144002,Chronic kidney disease stage 3 (disorder)
503,N18.4,"Chronic kidney disease, stage 4 (severe)",433144002,Chronic kidney disease stage 3 (disorder)
504,N18.31,"Chronic kidney disease, stage 3a",433144002,Chronic kidney disease stage 3 (disorder)
505,N18.32,"Chronic kidney disease, stage 3b",433144002,Chronic kidney disease stage 3 (disorder)
506,N18.3,"Chronic kidney disease, stage 3 (moderate)",433144002,Chronic kidney disease stage 3 (disorder)
507,S32.00,Fracture of unspecified lumbar vertebra,15724005,Fracture of vertebral column without spinal cord injury (disorder)
508,C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,254632001,Small cell carcinoma of lung (disorder)
509,C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,254632001,Small cell carcinoma of lung (disorder)
510,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
511,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
512,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
513,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
514,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
515,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
516,C34.00,Malignant neoplasm of unspecified main bronchus,254632001,Small cell carcinoma of lung (disorder)
517,C34.01,Malignant neoplasm of right main bronchus,254632001,Small cell carcinoma of lung (disorder)
518,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",254632001,Small cell carcinoma of lung (disorder)
519,C34.02,Malignant neoplasm of left main bronchus,254632001,Small cell carcinoma of lung (disorder)
520,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,254632001,Small cell carcinoma of lung (disorder)
521,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,254632001,Small cell carcinoma of lung (disorder)
522,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,254632001,Small cell carcinoma of lung (disorder)
523,S93.40,Sprain of unspecified ligament of ankle,44465007,Sprain of ankle (disorder)
524,S93.49,Sprain of other ligament of ankle,44465007,Sprain of ankle (disorder)
525,S96.91,Strain of unspecified muscle and tendon at ankle and foot level,44465007,Sprain of ankle (disorder)
526,S93.42,Sprain of deltoid ligament,44465007,Sprain of ankle (disorder)
527,S93.4,Sprain of ankle,44465007,Sprain of ankle (disorder)
528,S24.10,Unspecified injury of thoracic spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
529,S14.10,Unspecified injury of cervical spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
529,S12.50,Unspecified fracture of sixth cervical vertebra,1734006,Fracture of vertebral column with spinal cord injury (disorder)
530,S34.13,Other and unspecified injury to sacral spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
530,S32.2,Fracture of coccyx,1734006,Fracture of vertebral column with spinal cord injury (disorder)
531,S34.10,Unspecified injury to lumbar spinal cord,1734006,Fracture of vertebral column with spinal cord injury (disorder)
531,S32.00,Fracture of unspecified lumbar vertebra,1734006,Fracture of vertebral column with spinal cord injury (disorder)
532,F32,"Major depressive disorder, single episode",36923009,"Major depression, single episode (disorder)"
533,G24,Dystonia,15802004,Dystonia (disorder)
534,R25.8,Other abnormal involuntary movements,15802004,Dystonia (disorder)
535,F43.1,Post-traumatic stress disorder (PTSD),47505003,Posttraumatic stress disorder (disorder)
536,F43.11,"Post-traumatic stress disorder, acute",47505003,Posttraumatic stress disorder (disorder)
537,F43.12,"Post-traumatic stress disorder, chronic",47505003,Posttraumatic stress disorder (disorder)
538,F48.8,Other specified nonpsychotic mental disorders,47505003,Posttraumatic stress disorder (disorder)
539,F43.10,"Post-traumatic stress disorder, unspecified",47505003,Posttraumatic stress disorder (disorder)
540,F43.9,"Reaction to severe stress, unspecified",47505003,Posttraumatic stress disorder (disorder)
541,K11.7,Disturbances of salivary secretion,62718007,Dribbling from mouth (finding)
542,T65.81,Toxic effect of latex,300916003,Allergy to latex (finding)
543,Z91.04,Nonmedicinal substance allergy status,300916003,Allergy to latex (finding)
544,Q76.3,Congenital scoliosis due to congenital bony malformation,298382003,Scoliosis deformity of spine (disorder)
545,M41,Scoliosis,298382003,Scoliosis deformity of spine (disorder)
546,M96.5,Postradiation scoliosis,298382003,Scoliosis deformity of spine (disorder)
547,Q67.5,Congenital deformity of spine,298382003,Scoliosis deformity of spine (disorder)
547,Q66.89,Other specified congenital deformities of feet,298382003,Scoliosis deformity of spine (disorder)
548,S09.90,Unspecified injury of head,25064002,Headache (finding)
549,G44.84,Primary exertional headache,25064002,Headache (finding)
550,G44.30,"Post-traumatic headache, unspecified",25064002,Headache (finding)
551,G43.80,"Other migraine, not intractable",25064002,Headache (finding)
552,G44.4,"Drug-induced headache, not elsewhere classified",25064002,Headache (finding)
553,G51.8,Other disorders of facial nerve,25064002,Headache (finding)
554,G44.89,Other headache syndrome,25064002,Headache (finding)
555,R51,Headache,25064002,Headache (finding)
556,G44.40,"Drug-induced headache, not elsewhere classified, not intractable",25064002,Headache (finding)
557,G44.41,"Drug-induced headache, not elsewhere classified, intractable",25064002,Headache (finding)
558,R39.19,Other difficulties with micturition,267064002,Retention of urine (disorder)
559,N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms,267064002,Retention of urine (disorder)
560,R33,Retention of urine,267064002,Retention of urine (disorder)
561,J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
562,J95.88,"Other intraoperative complications of respiratory system, not elsewhere classified",65710008,Acute respiratory failure (disorder)
563,J96.0,Acute respiratory failure,65710008,Acute respiratory failure (disorder)
564,J95.82,Postprocedural respiratory failure,65710008,Acute respiratory failure (disorder)
565,J96.01,Acute respiratory failure with hypoxia,65710008,Acute respiratory failure (disorder)
566,J96.00,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
567,J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
567,G70.9,"Myoneural disorder, unspecified",65710008,Acute respiratory failure (disorder)
568,J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia",65710008,Acute respiratory failure (disorder)
568,A41.3,Sepsis due to Hemophilus influenzae,65710008,Acute respiratory failure (disorder)
568,R65.21,Severe sepsis with septic shock,65710008,Acute respiratory failure (disorder)
569,K63.5,Polyp of colon,68496003,Polyp of colon (disorder)
570,K51.41,Inflammatory polyps of colon with complications,68496003,Polyp of colon (disorder)
571,K51.40,Inflammatory polyps of colon without complications,68496003,Polyp of colon (disorder)
572,S98.91,"Complete traumatic amputation of foot, level unspecified",429280009,History of amputation of foot (situation)
573,Z89.44,Acquired absence of ankle,429280009,History of amputation of foot (situation)
574,Z89.43,Acquired absence of foot,429280009,History of amputation of foot (situation)
575,Z89.42,Acquired absence of other toe(s),429280009,History of amputation of foot (situation)
576,Q67.5,Congenital deformity of spine,76916001,Spina bifida occulta (disorder)
577,Q76.0,Spina bifida occulta,76916001,Spina bifida occulta (disorder)
578,R68.83,Chills (without fever),43724002,Chill (finding)
579,E78.1,Pure hyperglyceridemia,55822004,Hyperlipidemia (disorder)
