id,icd_code,icd_description,snomed,snomed_concept_name
265,N17.9,"Acute kidney failure, unspecified",40095003,Injury of kidney (disorder)
266,S37.091,Other injury of right kidney,40095003,Injury of kidney (disorder)
267,S37.001,Unspecified injury of right kidney,40095003,Injury of kidney (disorder)
268,N14.2,"Nephropathy induced by unspecified drug, medicament or biological substance",40095003,Injury of kidney (disorder)
269,S37.009,Unspecified injury of unspecified kidney,40095003,Injury of kidney (disorder)
270,S37.002,Unspecified injury of left kidney,40095003,Injury of kidney (disorder)
271,S37.0,Injury of kidney,40095003,Injury of kidney (disorder)
272,S37.09,Other injury of kidney,40095003,Injury of kidney (disorder)
273,T86.19,Other complication of kidney transplant,40095003,Injury of kidney (disorder)
274,T37.5,"Poisoning by, adverse effect of and underdosing of antiviral drugs",40095003,Injury of kidney (disorder)
274,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",40095003,Injury of kidney (disorder)
275,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",40095003,Injury of kidney (disorder)
275,T45.1,"Poisoning by, adverse effect of and underdosing of antineoplastic and immunosuppressive drugs",40095003,Injury of kidney (disorder)
276,T36.7,"Poisoning by, adverse effect of and underdosing of antifungal antibiotics, systemically used",40095003,Injury of kidney (disorder)
276,N14.1,"Nephropathy induced by other drugs, medicaments and biological substances",40095003,Injury of kidney (disorder)
277,D07.5,Carcinoma in situ of prostate,92691004,Carcinoma in situ of prostate (disorder)
278,J44.9,"Chronic obstructive pulmonary disease, unspecified",185086009,Chronic obstructive bronchitis (disorder)
279,J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,185086009,Chronic obstructive bronchitis (disorder)
280,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,185086009,Chronic obstructive bronchitis (disorder)
281,S26,Injury of heart,86175003,Injury of heart (disorder)
282,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",84114007,Heart failure (disorder)
283,I13.2,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",84114007,Heart failure (disorder)
284,I51.9,"Heart disease, unspecified",84114007,Heart failure (disorder)
285,I11.0,Hypertensive heart disease with heart failure,84114007,Heart failure (disorder)
286,I50,Heart failure,84114007,Heart failure (disorder)
287,P29.0,Neonatal cardiac failure,84114007,Heart failure (disorder)
288,I97.130,Postprocedural heart failure following cardiac surgery,84114007,Heart failure (disorder)
289,I97.131,Postprocedural heart failure following other surgery,84114007,Heart failure (disorder)
290,E11.341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
291,E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
292,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
293,E11.321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
294,F11.13,Opioid abuse with withdrawal,5602001,Opioid abuse (disorder)
295,F11.159,"Opioid abuse with opioid-induced psychotic disorder, unspecified",5602001,Opioid abuse (disorder)
296,F11.922,"Opioid use, unspecified with intoxication with perceptual disturbance",5602001,Opioid abuse (disorder)
297,F11.94,"Opioid use, unspecified with opioid-induced mood disorder",5602001,Opioid abuse (disorder)
298,F11.950,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions",5602001,Opioid abuse (disorder)
299,F11.10,"Opioid abuse, uncomplicated",5602001,Opioid abuse (disorder)
300,F11.20,"Opioid dependence, uncomplicated",5602001,Opioid abuse (disorder)
301,F11.12,Opioid abuse with intoxication,5602001,Opioid abuse (disorder)
302,F11.18,Opioid abuse with other opioid-induced disorder,5602001,Opioid abuse (disorder)
303,F11.1,Opioid abuse,5602001,Opioid abuse (disorder)
304,F11.11,"Opioid abuse, in remission",5602001,Opioid abuse (disorder)
305,F11.182,Opioid abuse with opioid-induced sleep disorder,5602001,Opioid abuse (disorder)
306,F11.181,Opioid abuse with opioid-induced sexual dysfunction,5602001,Opioid abuse (disorder)
307,F11.129,"Opioid abuse with intoxication, unspecified",5602001,Opioid abuse (disorder)
308,F11.19,Opioid abuse with unspecified opioid-induced disorder,5602001,Opioid abuse (disorder)
309,F11.982,"Opioid use, unspecified with opioid-induced sleep disorder",5602001,Opioid abuse (disorder)
310,F11.21,"Opioid dependence, in remission",5602001,Opioid abuse (disorder)
311,F11.121,Opioid abuse with intoxication delirium,5602001,Opioid abuse (disorder)
312,F11.221,Opioid dependence with intoxication delirium,5602001,Opioid abuse (disorder)
313,F11.282,Opioid dependence with opioid-induced sleep disorder,5602001,Opioid abuse (disorder)
314,F11.981,"Opioid use, unspecified with opioid-induced sexual dysfunction",5602001,Opioid abuse (disorder)
315,F11.281,Opioid dependence with opioid-induced sexual dysfunction,5602001,Opioid abuse (disorder)
316,F11.951,"Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations",5602001,Opioid abuse (disorder)
317,F11.151,Opioid abuse with opioid-induced psychotic disorder with hallucinations,5602001,Opioid abuse (disorder)
318,F11.921,"Opioid use, unspecified with intoxication delirium",5602001,Opioid abuse (disorder)
319,F11.90,"Opioid use, unspecified, uncomplicated",5602001,Opioid abuse (disorder)
320,Z87.898,Personal history of other specified conditions,5602001,Opioid abuse (disorder)
321,F11.150,Opioid abuse with opioid-induced psychotic disorder with delusions,5602001,Opioid abuse (disorder)
322,F11.959,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified",5602001,Opioid abuse (disorder)
323,F11.93,"Opioid use, unspecified with withdrawal",5602001,Opioid abuse (disorder)
324,F11.929,"Opioid use, unspecified with intoxication, unspecified",5602001,Opioid abuse (disorder)
325,F11.122,Opioid abuse with intoxication with perceptual disturbance,5602001,Opioid abuse (disorder)
326,F11.120,"Opioid abuse with intoxication, uncomplicated",5602001,Opioid abuse (disorder)
327,F11.988,"Opioid use, unspecified with other opioid-induced disorder",5602001,Opioid abuse (disorder)
328,F11.15,Opioid abuse with opioid-induced psychotic disorder,5602001,Opioid abuse (disorder)
329,F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder",5602001,Opioid abuse (disorder)
330,F11.188,Opioid abuse with other opioid-induced disorder,5602001,Opioid abuse (disorder)
331,F11.288,Opioid dependence with other opioid-induced disorder,5602001,Opioid abuse (disorder)
331,F11.229,"Opioid dependence with intoxication, unspecified",5602001,Opioid abuse (disorder)
331,F41.8,Other specified anxiety disorders,5602001,Opioid abuse (disorder)
332,M10,Gout,90560007,Inflammatory disorder due to increased blood urate level (disorder)
333,M1A,Chronic gout,90560007,Inflammatory disorder due to increased blood urate level (disorder)
334,G30,Alzheimer's disease,26929004,Alzheimer's disease (disorder)
335,J44.9,"Chronic obstructive pulmonary disease, unspecified",87433001,Pulmonary emphysema (disorder)
336,J43,Emphysema,87433001,Pulmonary emphysema (disorder)
337,J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapors",87433001,Pulmonary emphysema (disorder)
338,J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,87433001,Pulmonary emphysema (disorder)
338,J20.9,"Acute bronchitis, unspecified",87433001,Pulmonary emphysema (disorder)
339,K35.32,"Acute appendicitis with perforation and localized peritonitis, without abscess",47693006,Rupture of appendix (disorder)
340,K35.33,"Acute appendicitis with perforation and localized peritonitis, with abscess",47693006,Rupture of appendix (disorder)
341,D49.59,Neoplasm of unspecified behavior of other genitourinary organ,126906006,Neoplasm of prostate (disorder)
342,R97.21,Rising PSA following treatment for malignant neoplasm of prostate,126906006,Neoplasm of prostate (disorder)
343,S22.31,"Fracture of one rib, right side",33737001,Fracture of rib (disorder)
344,M84.48,"Pathological fracture, other site",33737001,Fracture of rib (disorder)
345,S22.39,"Fracture of one rib, unspecified side",33737001,Fracture of rib (disorder)
346,S22.32,"Fracture of one rib, left side",33737001,Fracture of rib (disorder)
347,S22.5,Flail chest,33737001,Fracture of rib (disorder)
348,S27.0,Traumatic pneumothorax,33737001,Fracture of rib (disorder)
349,L25,Unspecified contact dermatitis,40275004,Contact dermatitis (disorder)
350,H60.8,Other otitis externa,40275004,Contact dermatitis (disorder)
351,L23.81,Allergic contact dermatitis due to animal (cat) (dog) dander,40275004,Contact dermatitis (disorder)
352,S46.001,Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
353,S46.002,Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of left shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
354,S46.099,Other injury of muscle(s) and tendon(s) of the rotator cuff of unspecified shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
355,S46.092,Other injury of muscle(s) and tendon(s) of the rotator cuff of left shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
356,S46.091,Other injury of muscle(s) and tendon(s) of the rotator cuff of right shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
357,S46.809,"Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level, unspecified arm",307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
358,S46.802,"Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level, left arm",307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
359,S46.801,"Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level, right arm",307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
360,S46.009,Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of unspecified shoulder,307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
361,S86.811,"Strain of other muscle(s) and tendon(s) at lower leg level, right leg",30832001,Rupture of patellar tendon (disorder)
362,S86.819,"Strain of other muscle(s) and tendon(s) at lower leg level, unspecified leg",30832001,Rupture of patellar tendon (disorder)
363,S86.812,"Strain of other muscle(s) and tendon(s) at lower leg level, left leg",30832001,Rupture of patellar tendon (disorder)
364,C34.00,Malignant neoplasm of unspecified main bronchus,254637007,Non-small cell lung cancer (disorder)
365,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,254637007,Non-small cell lung cancer (disorder)
366,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,254637007,Non-small cell lung cancer (disorder)
367,C34.01,Malignant neoplasm of right main bronchus,254637007,Non-small cell lung cancer (disorder)
368,C34.02,Malignant neoplasm of left main bronchus,254637007,Non-small cell lung cancer (disorder)
369,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,254637007,Non-small cell lung cancer (disorder)
370,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",254637007,Non-small cell lung cancer (disorder)
371,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",254637007,Non-small cell lung cancer (disorder)
372,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",254637007,Non-small cell lung cancer (disorder)
373,G43.109,"Migraine with aura, not intractable, without status migrainosus",427419006,Transformed migraine (disorder)
374,G43.709,"Chronic migraine without aura, not intractable, without status migrainosus",427419006,Transformed migraine (disorder)
375,S83.411,Sprain of medial collateral ligament of right knee,444448004,Injury of medial collateral ligament of knee (disorder)
376,S83.412,Sprain of medial collateral ligament of left knee,444448004,Injury of medial collateral ligament of knee (disorder)
377,S83.419,Sprain of medial collateral ligament of unspecified knee,444448004,Injury of medial collateral ligament of knee (disorder)
378,R04.2,Hemoptysis,66857006,Hemoptysis (finding)
379,F17.200,"Nicotine dependence, unspecified, uncomplicated",449868002,Smokes tobacco daily (finding)
380,N39.0,"Urinary tract infection, site not specified",197927001,Recurrent urinary tract infection (disorder)
381,O23.40,"Unspecified infection of urinary tract in pregnancy, unspecified trimester",197927001,Recurrent urinary tract infection (disorder)
382,O23.42,"Unspecified infection of urinary tract in pregnancy, second trimester",197927001,Recurrent urinary tract infection (disorder)
383,O23.43,"Unspecified infection of urinary tract in pregnancy, third trimester",197927001,Recurrent urinary tract infection (disorder)
384,O23.41,"Unspecified infection of urinary tract in pregnancy, first trimester",197927001,Recurrent urinary tract infection (disorder)
385,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)"
386,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)"
387,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,424132000,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)"
388,Z68.42,"Body mass index [BMI] 45.0-49.9, adult",408512008,Body mass index 40+ - severely obese (finding)
389,E66.01,Morbid (severe) obesity due to excess calories,408512008,Body mass index 40+ - severely obese (finding)
390,Z68.45,"Body mass index [BMI] 70 or greater, adult",408512008,Body mass index 40+ - severely obese (finding)
391,Z68.41,"Body mass index [BMI]40.0-44.9, adult",408512008,Body mass index 40+ - severely obese (finding)
392,Z68.43,"Body mass index [BMI] 50.0-59.9, adult",408512008,Body mass index 40+ - severely obese (finding)
393,Z68.44,"Body mass index [BMI] 60.0-69.9, adult",408512008,Body mass index 40+ - severely obese (finding)
394,E66.1,Drug-induced obesity,408512008,Body mass index 40+ - severely obese (finding)
395,E66.2,Morbid (severe) obesity with alveolar hypoventilation,408512008,Body mass index 40+ - severely obese (finding)
396,M80.869,"Other osteoporosis with current pathological fracture, unspecified lower leg",443165006,Pathological fracture due to osteoporosis (disorder)
397,M80.011,"Age-related osteoporosis with current pathological fracture, right shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
398,M84.459,"Pathological fracture, hip, unspecified",443165006,Pathological fracture due to osteoporosis (disorder)
399,M80.811,"Other osteoporosis with current pathological fracture, right shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
400,M80.859,"Other osteoporosis with current pathological fracture, unspecified femur",443165006,Pathological fracture due to osteoporosis (disorder)
401,M80.812,"Other osteoporosis with current pathological fracture, left shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
402,M80.8,Other osteoporosis with current pathological fracture,443165006,Pathological fracture due to osteoporosis (disorder)
403,M80.0,Age-related osteoporosis with current pathological fracture,443165006,Pathological fracture due to osteoporosis (disorder)
404,M80.051,"Age-related osteoporosis with current pathological fracture, right femur",443165006,Pathological fracture due to osteoporosis (disorder)
405,M80.052,"Age-related osteoporosis with current pathological fracture, left femur",443165006,Pathological fracture due to osteoporosis (disorder)
406,M80.80,"Other osteoporosis with current pathological fracture, unspecified site",443165006,Pathological fracture due to osteoporosis (disorder)
407,M80.062,"Age-related osteoporosis with current pathological fracture, left lower leg",443165006,Pathological fracture due to osteoporosis (disorder)
408,M80.00,"Age-related osteoporosis with current pathological fracture, unspecified site",443165006,Pathological fracture due to osteoporosis (disorder)
409,M80.059,"Age-related osteoporosis with current pathological fracture, unspecified femur",443165006,Pathological fracture due to osteoporosis (disorder)
410,M80.019,"Age-related osteoporosis with current pathological fracture, unspecified shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
411,M80.012,"Age-related osteoporosis with current pathological fracture, left shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
412,M80.819,"Other osteoporosis with current pathological fracture, unspecified shoulder",443165006,Pathological fracture due to osteoporosis (disorder)
413,Z87.310,Personal history of (healed) osteoporosis fracture,443165006,Pathological fracture due to osteoporosis (disorder)
414,D68.9,"Coagulation defect, unspecified",234466008,Acquired coagulation disorder (disorder)
415,R65.21,Severe sepsis with septic shock,76571007,Septic shock (disorder)
416,I95.9,"Hypotension, unspecified",76571007,Septic shock (disorder)
416,A41.9,"Sepsis, unspecified organism",76571007,Septic shock (disorder)
417,K62.1,Rectal polyp,713197008,Recurrent rectal polyp (disorder)
418,O02.0,Blighted ovum and nonhydatidiform mole,35999006,Blighted ovum (disorder)
419,S06.0,Concussion,62564004,Concussion with loss of consciousness (disorder)
420,S06.317,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,62564004,Concussion with loss of consciousness (disorder)
421,S06.339,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration",62564004,Concussion with loss of consciousness (disorder)
422,S06.329,Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration,62564004,Concussion with loss of consciousness (disorder)
423,S06.334,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours",62564004,Concussion with loss of consciousness (disorder)
424,S06.321,Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less,62564004,Concussion with loss of consciousness (disorder)
425,S06.337,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",62564004,Concussion with loss of consciousness (disorder)
426,S06.327,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,62564004,Concussion with loss of consciousness (disorder)
427,S06.311,Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less,62564004,Concussion with loss of consciousness (disorder)
428,S06.322,Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes,62564004,Concussion with loss of consciousness (disorder)
429,S06.331,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less",62564004,Concussion with loss of consciousness (disorder)
430,S06.332,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes",62564004,Concussion with loss of consciousness (disorder)
431,S06.324,Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours,62564004,Concussion with loss of consciousness (disorder)
432,S06.325,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,62564004,Concussion with loss of consciousness (disorder)
433,S06.314,Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours,62564004,Concussion with loss of consciousness (disorder)
434,S06.328,Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,62564004,Concussion with loss of consciousness (disorder)
435,S06.323,Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes,62564004,Concussion with loss of consciousness (disorder)
436,S06.319,Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration,62564004,Concussion with loss of consciousness (disorder)
437,S06.312,Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes,62564004,Concussion with loss of consciousness (disorder)
438,S06.333,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes",62564004,Concussion with loss of consciousness (disorder)
439,S06.315,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,62564004,Concussion with loss of consciousness (disorder)
440,S06.318,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,62564004,Concussion with loss of consciousness (disorder)
441,S06.338,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",62564004,Concussion with loss of consciousness (disorder)
442,S06.326,Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,62564004,Concussion with loss of consciousness (disorder)
443,S06.313,Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes,62564004,Concussion with loss of consciousness (disorder)
444,S06.316,Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,62564004,Concussion with loss of consciousness (disorder)
445,S06.335,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level",62564004,Concussion with loss of consciousness (disorder)
446,R13.0,Aphagia,288959006,Unable to swallow saliva (finding)
447,I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,22298006,Myocardial infarction (disorder)
448,I21.4,Non-ST elevation (NSTEMI) myocardial infarction,22298006,Myocardial infarction (disorder)
449,I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,22298006,Myocardial infarction (disorder)
450,I21.9,"Acute myocardial infarction, unspecified",22298006,Myocardial infarction (disorder)
451,I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,22298006,Myocardial infarction (disorder)
452,I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,22298006,Myocardial infarction (disorder)
453,I21.A,Other type of myocardial infarction,22298006,Myocardial infarction (disorder)
454,I21.A1,Myocardial infarction type 2,22298006,Myocardial infarction (disorder)
455,I21.A9,Other myocardial infarction type,22298006,Myocardial infarction (disorder)
456,I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery,22298006,Myocardial infarction (disorder)
457,I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,22298006,Myocardial infarction (disorder)
458,I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",22298006,Myocardial infarction (disorder)
459,I21.29,ST elevation (STEMI) myocardial infarction involving other sites,22298006,Myocardial infarction (disorder)
460,I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery,22298006,Myocardial infarction (disorder)
461,I21.1,ST elevation (STEMI) myocardial infarction of inferior wall,22298006,Myocardial infarction (disorder)
462,I25.2,Old myocardial infarction,22298006,Myocardial infarction (disorder)
463,I22.8,Subsequent ST elevation (STEMI) myocardial infarction of other sites,399211009,History of myocardial infarction (situation)
464,I51.0,"Cardiac septal defect, acquired",399211009,History of myocardial infarction (situation)
465,I25.2,Old myocardial infarction,399211009,History of myocardial infarction (situation)
466,I23.8,Other current complications following acute myocardial infarction,399211009,History of myocardial infarction (situation)
467,F90.9,"Attention-deficit hyperactivity disorder, unspecified type",192127007,Child attention deficit disorder (disorder)
468,F98.8,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence,192127007,Child attention deficit disorder (disorder)
469,M19.041,"Primary osteoarthritis, right hand",201834006,"Localized, primary osteoarthritis of the hand (disorder)"
470,M19.042,"Primary osteoarthritis, left hand",201834006,"Localized, primary osteoarthritis of the hand (disorder)"
471,M19.049,"Primary osteoarthritis, unspecified hand",201834006,"Localized, primary osteoarthritis of the hand (disorder)"
472,O00.109,Unspecified tubal pregnancy without intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
473,O00.10,Tubal pregnancy without intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
474,O00.102,Left tubal pregnancy without intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
475,O00.112,Left tubal pregnancy with intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
476,O00.119,Unspecified tubal pregnancy with intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
477,O00.101,Right tubal pregnancy without intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
478,O00.11,Tubal pregnancy with intrauterine pregnancy,79586000,Tubal pregnancy (disorder)
479,O00.1,Tubal pregnancy,79586000,Tubal pregnancy (disorder)
480,S06.9,Unspecified intracranial injury,275272006,Brain damage - traumatic (disorder)
481,E11.341,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
482,E11.339,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
483,E11.329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
484,E11.349,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
485,E11.351,Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
486,E11.321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
487,E11.331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
488,E11.359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
489,E11.311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
490,E11.319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
491,E11.32,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
492,E11.33,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
493,E11.34,Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy,422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
494,C18,Malignant neoplasm of colon,363406005,Malignant neoplasm of colon (disorder)
495,C19,Malignant neoplasm of rectosigmoid junction,363406005,Malignant neoplasm of colon (disorder)
496,K70.30,Alcoholic cirrhosis of liver without ascites,7200002,Alcoholism (disorder)
497,Z71.41,Alcohol abuse counseling and surveillance of alcoholic,7200002,Alcoholism (disorder)
498,F10.220,"Alcohol dependence with intoxication, uncomplicated",7200002,Alcoholism (disorder)
499,F10.221,Alcohol dependence with intoxication delirium,7200002,Alcoholism (disorder)
500,F10.229,"Alcohol dependence with intoxication, unspecified",7200002,Alcoholism (disorder)
501,F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations",7200002,Alcoholism (disorder)
502,F10.959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified",7200002,Alcoholism (disorder)
503,F10.950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions",7200002,Alcoholism (disorder)
504,F10.20,"Alcohol dependence, uncomplicated",7200002,Alcoholism (disorder)
505,F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",7200002,Alcoholism (disorder)
506,M16,Osteoarthritis of hip,239872002,Osteoarthritis of hip (disorder)
507,J30.2,Other seasonal allergic rhinitis,367498001,Seasonal allergic rhinitis (disorder)
508,J30.89,Other allergic rhinitis,367498001,Seasonal allergic rhinitis (disorder)
509,T26.40,"Burn of unspecified eye and adnexa, part unspecified",403191005,Partial thickness burn (disorder)
510,T30.0,"Burn of unspecified body region, unspecified degree",403191005,Partial thickness burn (disorder)
511,T30.4,"Corrosion of unspecified body region, unspecified degree",403191005,Partial thickness burn (disorder)
512,T26.42,"Burn of left eye and adnexa, part unspecified",403191005,Partial thickness burn (disorder)
513,T21.26,Burn of second degree of male genital region,403191005,Partial thickness burn (disorder)
514,T26.41,"Burn of right eye and adnexa, part unspecified",403191005,Partial thickness burn (disorder)
515,T20.20,"Burn of second degree of head, face, and neck, unspecified site",403191005,Partial thickness burn (disorder)
515,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403191005,Partial thickness burn (disorder)
516,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403191005,Partial thickness burn (disorder)
516,T25.219,Burn of second degree of unspecified ankle,403191005,Partial thickness burn (disorder)
517,C18.8,Malignant neoplasm of overlapping sites of colon,109838007,Overlapping malignant neoplasm of colon (disorder)
518,S83.519,Sprain of anterior cruciate ligament of unspecified knee,444470001,Injury of anterior cruciate ligament (disorder)
519,S89.92,Unspecified injury of left lower leg,444470001,Injury of anterior cruciate ligament (disorder)
520,S83.511,Sprain of anterior cruciate ligament of right knee,444470001,Injury of anterior cruciate ligament (disorder)
521,S83.512,Sprain of anterior cruciate ligament of left knee,444470001,Injury of anterior cruciate ligament (disorder)
522,S89.90,Unspecified injury of unspecified lower leg,444470001,Injury of anterior cruciate ligament (disorder)
